 ABQ 20030101  2.37  2.24  0.67  0.23  0.10 315.8
 ABQ 20030102  2.69  2.61  0.81  0.17  0.02 284.5
 ABQ 20030103  2.87  2.67  0.51  0.40  0.09 269.8
 ABQ 20030104  2.56  2.30  0.50  0.35  0.10 300.3
 ABQ 20030105  2.58  2.36  0.54  0.33  0.10 300.8
 ABQ 20030106  2.37  1.84  0.26  0.29  0.28 326.7
 ABQ 20030107  2.23  2.00  0.59  0.26  0.08 348.3
 ABQ 20030108  2.53  2.09  0.45  0.26  0.14 313.3
 ABQ 20030109  3.16  2.56  0.19  0.46  0.24 258.8
 ABQ 20030110  2.96  2.12  0.02  0.41  0.36 275.4
 ABQ 20030111  2.75  1.79  0.00  0.35  0.32 295.3
 ABQ 20030112  2.78  2.52  0.67  0.19  0.07 296.3
 ABQ 20030113  3.14  2.79  0.37  0.45  0.15 269.0
 ABQ 20030114  3.40  3.05  0.63  0.24  0.04 253.5
 ABQ 20030115  3.24  2.88  0.48  0.33  0.14 267.3
 ABQ 20030116  3.00  2.87  0.68  0.27  0.06 288.5
 ABQ 20030117  2.96  2.69  0.42  0.44  0.13 294.6
 ABQ 20030118  2.83  2.75  0.78  0.21  0.01 309.7
 ABQ 20030119  2.72  2.65  0.85  0.14  0.01 324.3
 ABQ 20030120  3.06  2.64  0.30  0.46  0.19 294.8
 ABQ 20030121  3.01  2.61  0.41  0.32  0.21 301.7
 ABQ 20030122  2.78  2.61  0.73  0.19  0.05 328.7
 ABQ 20030123  3.49  2.74  0.19  0.39  0.28 271.6
 ABQ 20030124  3.52  2.61  0.08  0.43  0.30 273.4
 ABQ 20030125  3.43  2.92  0.30  0.47  0.15 283.5
 ABQ 20030126  3.07  2.98  0.89  0.09  0.00 316.4
 ABQ 20030127  3.60  3.46  0.73  0.24  0.03 278.1
 ABQ 20030128  3.56  3.21  0.45  0.37  0.16 284.2
 ABQ 20030129  3.36  2.82  0.34  0.41  0.14 302.9
 ABQ 20030130  3.22  3.07  0.74  0.21  0.04 318.4
 ABQ 20030131  3.44  3.19  0.52  0.38  0.09 303.0
 ABQ 20030201  3.50  3.31  0.70  0.25  0.03 303.6
 ABQ 20030202  3.50  3.16  0.51  0.31  0.15 307.6
 ABQ 20030203  3.06  2.48  0.28  0.35  0.25 352.0
 ABQ 20030204  3.59  3.29  0.52  0.33  0.14 309.9
 ABQ 20030205  3.37  2.82  0.14  0.58  0.22 332.0
 ABQ 20030206  3.13  2.50  0.18  0.47  0.22 359.9
 ABQ 20030207  3.39  2.39  0.10  0.32  0.33 339.2
 ABQ 20030208  3.12  1.52  0.00  0.12  0.25 369.8
 ABQ 20030209  3.22  2.92  0.40  0.44  0.16 364.9
 ABQ 20030210  3.20  3.10  0.76  0.21  0.04 371.4
 ABQ 20030211  3.95  3.67  0.62  0.27  0.09 313.0
 ABQ 20030212  4.41  3.29  0.06  0.44  0.33 289.1
 ABQ 20030213  4.52  2.07  0.00  0.09  0.22 287.3
 ABQ 20030214  4.28  2.85  0.10  0.26  0.32 304.8
 ABQ 20030215  4.03  3.41  0.40  0.31  0.20 325.8
 ABQ 20030216  4.38  3.66  0.38  0.34  0.16 307.3
 ABQ 20030217  4.46  3.13  0.00  0.43  0.33 306.4
 ABQ 20030218  4.68  3.28  0.00  0.41  0.36 298.1
 ABQ 20030219  4.49  3.76  0.27  0.47  0.16 313.2
 ABQ 20030220  4.22  2.19  0.00  0.16  0.27 335.1
 ABQ 20030221  4.41  4.00  0.51  0.32  0.15 326.9
 ABQ 20030222  4.25  3.84  0.38  0.45  0.17 342.7
 ABQ 20030223  4.44  4.05  0.37  0.50  0.14 334.7
 ABQ 20030224  4.50  3.30  0.05  0.44  0.31 335.1
 ABQ 20030225  4.37  3.01  0.04  0.37  0.32 348.5
 ABQ 20030226  4.06  2.68  0.01  0.34  0.34 376.4
 ABQ 20030227  4.16  3.15  0.18  0.37  0.26 373.9
 ABQ 20030228  3.95  3.08  0.22  0.37  0.25 396.9
