 ACY 20020101  1.42  1.21  0.31  0.41  0.21 347.0
 ACY 20020102  1.63  1.44  0.42  0.37  0.18 308.5
 ACY 20020103  1.55  1.09  0.03  0.42  0.30 325.2
 ACY 20020104  1.51  1.31  0.27  0.47  0.23 336.2
 ACY 20020105  1.68  1.35  0.18  0.45  0.26 306.4
 ACY 20020106  1.71  0.96  0.00  0.21  0.31 304.2
 ACY 20020107  1.63  0.80  0.00  0.12  0.25 320.2
 ACY 20020108  1.52  1.37  0.36  0.45  0.19 344.3
 ACY 20020109  1.58  1.07  0.06  0.36  0.28 335.9
 ACY 20020110  1.58  0.92  0.00  0.23  0.33 338.6
 ACY 20020111  1.60  0.94  0.10  0.28  0.10 337.5
 ACY 20020112  1.68  1.49  0.30  0.50  0.19 325.5
 ACY 20020113  1.65  1.46  0.35  0.40  0.25 336.4
 ACY 20020114  1.79  1.33  0.16  0.39  0.23 315.0
 ACY 20020115  1.94  1.39  0.09  0.38  0.29 295.8
 ACY 20020116  2.02  1.66  0.22  0.45  0.24 289.4
 ACY 20020117  1.86  1.32  0.03  0.42  0.32 315.0
 ACY 20020118  1.64  1.44  0.27  0.49  0.23 359.2
 ACY 20020119  1.98  0.83  0.00  0.05  0.18 305.7
 ACY 20020120  1.87  1.66  0.45  0.41  0.08 325.6
 ACY 20020121  2.48  1.15  0.08  0.16  0.00 254.9
 ACY 20020122  2.01  1.82  0.35  0.49  0.16 311.7
 ACY 20020123  2.29  1.09  0.16  0.09  0.00 281.5
 ACY 20020124  2.34  0.84  0.00  0.02  0.08 280.6
 ACY 20020125  2.12  1.93  0.46  0.37  0.17 311.7
 ACY 20020126  2.27  2.11  0.50  0.43  0.07 297.0
 ACY 20020127  2.50  2.35  0.56  0.39  0.05 276.1
 ACY 20020128  2.51  2.25  0.41  0.42  0.15 279.3
 ACY 20020129  2.73  1.83  0.09  0.34  0.24 263.4
 ACY 20020130  3.02  1.64  0.09  0.20  0.12 244.2
 ACY 20020131  3.34  1.18  0.00  0.01  0.08 226.4
 ACY 20020201  3.18  1.81  0.00  0.26  0.25 240.8
 ACY 20020202  2.33  2.13  0.48  0.38  0.13 321.1
 ACY 20020203  2.22  1.61  0.15  0.35  0.25 341.7
 ACY 20020204  1.98  1.16  0.00  0.19  0.39 387.6
 ACY 20020205  2.11  1.97  0.51  0.41  0.08 370.3
