 ANC 20020101  0.11  0.08  0.12  0.12  0.60 372.8
 ANC 20020102  0.12  0.07  0.09  0.09  0.36 339.2
 ANC 20020103  0.12  0.06  0.00  0.15  0.33 363.1
 ANC 20020104  0.12  0.06  0.00  0.08  0.25 367.2
 ANC 20020105  0.12  0.05  0.00  0.03  0.26 392.9
 ANC 20020106  0.12  0.06  0.01  0.11  0.37 401.2
 ANC 20020107  0.12  0.07  0.00  0.18  0.47 389.8
 ANC 20020108  0.13  0.05  0.00  0.00  0.21 374.2
 ANC 20020109  0.13  0.07  0.00  0.10  0.49 373.7
 ANC 20020110  0.13  0.07  0.00  0.12  0.34 382.3
 ANC 20020111  0.13  0.08  0.01  0.15  0.48 393.5
 ANC 20020112  0.13  0.09  0.10  0.31  0.25 411.6
 ANC 20020113  0.13  0.07  0.00  0.15  0.37 426.0
 ANC 20020114  0.16  0.08  0.02  0.00  0.36 338.3
 ANC 20020115  0.16  0.07  0.00  0.06  0.29 351.5
 ANC 20020116  0.18  0.08  0.00  0.17  0.13 319.8
 ANC 20020117  0.17  0.09  0.00  0.12  0.31 341.4
 ANC 20020118  0.16  0.09  0.10  0.16  0.26 390.9
 ANC 20020119  0.16  0.11  0.12  0.29  0.25 391.4
 ANC 20020120  0.15  0.11  0.27  0.26  0.21 462.6
 ANC 20020121  0.15  0.12  0.33  0.29  0.22 445.7
 ANC 20020122  0.17  0.06  0.00  0.00  0.09 416.2
 ANC 20020123  0.16  0.09  0.00  0.24  0.26 485.0
 ANC 20020124  0.17  0.13  0.30  0.31  0.19 461.7
 ANC 20020125  0.18  0.16  0.39  0.35  0.15 422.9
 ANC 20020126  0.21  0.15  0.21  0.36  0.14 380.7
 ANC 20020127  0.23  0.10  0.00  0.08  0.18 346.1
 ANC 20020128  0.25  0.17  0.10  0.29  0.30 319.7
 ANC 20020129  0.26  0.11  0.00  0.00  0.25 327.4
 ANC 20020130  0.24  0.14  0.00  0.19  0.37 360.5
 ANC 20020131  0.25  0.20  0.31  0.27  0.28 362.7
 ANC 20020201  0.25  0.16  0.05  0.18  0.45 379.6
 ANC 20020202  0.24  0.15  0.08  0.14  0.37 422.2
 ANC 20020203  0.27  0.13  0.00  0.09  0.31 384.7
 ANC 20020204  0.26  0.14  0.00  0.12  0.36 417.1
 ANC 20020205  0.28  0.18  0.00  0.21  0.52 413.0
 ANC 20020206  0.29  0.18  0.00  0.20  0.45 400.5
 ANC 20020207  0.28  0.17  0.00  0.19  0.39 436.1
 ANC 20020208  0.28  0.15  0.00  0.12  0.31 452.2
 ANC 20020209  0.32  0.15  0.00  0.12  0.19 410.2
 ANC 20020210  0.30  0.15  0.00  0.14  0.21 451.0
 ANC 20020211  0.32  0.14  0.00  0.03  0.22 445.0
 ANC 20020212  0.36  0.23  0.01  0.19  0.49 408.3
 ANC 20020213  0.41  0.17  0.00  0.01  0.22 368.2
 ANC 20020214  0.40  0.26  0.00  0.20  0.52 389.8
 ANC 20020215  0.45  0.28  0.00  0.21  0.45 357.3
 ANC 20020216  0.41  0.26  0.00  0.25  0.44 415.3
 ANC 20020217  0.40  0.24  0.00  0.22  0.35 445.8
 ANC 20020218  0.42  0.29  0.08  0.26  0.40 443.1
 ANC 20020219  0.43  0.33  0.21  0.36  0.24 452.2
 ANC 20020220  0.44  0.37  0.39  0.28  0.22 453.1
 ANC 20020221  0.48  0.45  0.69  0.23  0.08 432.0
 ANC 20020222  0.49  0.33  0.15  0.31  0.20 436.9
 ANC 20020223  0.60  0.35  0.01  0.19  0.38 363.8
 ANC 20020224  0.71  0.56  0.24  0.34  0.28 319.8
 ANC 20020225  0.69  0.39  0.05  0.10  0.38 342.5
