 ATL 20020101  2.62  1.90  0.14  0.37  0.24 294.1
 ATL 20020102  2.78  0.92  0.00  0.00  0.04 281.2
 ATL 20020103  2.48  0.97  0.11  0.00  0.00 313.7
 ATL 20020104  2.81  2.62  0.63  0.30  0.04 282.2
 ATL 20020105  2.76  2.26  0.33  0.38  0.14 288.5
 ATL 20020106  2.52  0.87  0.00  0.00  0.07 315.2
 ATL 20020107  2.30  1.01  0.18  0.00  0.01 345.0
 ATL 20020108  2.52  2.19  0.53  0.27  0.10 319.6
 ATL 20020109  2.80  2.40  0.46  0.30  0.14 292.5
 ATL 20020110  2.77  1.76  0.04  0.31  0.28 297.3
 ATL 20020111  2.91  1.18  0.00  0.02  0.19 286.2
 ATL 20020112  2.77  1.57  0.00  0.27  0.23 301.2
 ATL 20020113  2.77  2.41  0.50  0.32  0.07 304.9
 ATL 20020114  2.86  1.42  0.03  0.12  0.22 299.1
 ATL 20020115  3.05  2.87  0.64  0.29  0.06 286.1
 ATL 20020116  3.86  3.53  0.53  0.34  0.10 235.3
 ATL 20020117  3.36  2.23  0.02  0.36  0.31 267.8
 ATL 20020118  3.18  1.40  0.06  0.08  0.09 283.6
 ATL 20020119  3.45  1.22  0.00  0.00  0.09 266.7
 ATL 20020120  3.56  2.66  0.28  0.29  0.18 261.8
 ATL 20020121  4.31  2.75  0.15  0.22  0.23 224.0
 ATL 20020122  3.56  2.88  0.32  0.36  0.17 267.5
 ATL 20020123  4.13  1.94  0.00  0.09  0.25 238.1
 ATL 20020124  3.77  1.73  0.03  0.09  0.17 260.5
 ATL 20020125  3.53  1.94  0.00  0.21  0.27 278.9
 ATL 20020126  3.77  3.27  0.43  0.38  0.10 266.6
 ATL 20020127  4.09  3.18  0.23  0.37  0.22 251.0
 ATL 20020128  4.26  2.70  0.21  0.19  0.16 245.6
 ATL 20020129  4.22  2.65  0.09  0.27  0.23 249.6
 ATL 20020130  4.35  3.11  0.08  0.39  0.29 246.4
 ATL 20020131  4.19  2.52  0.13  0.20  0.20 257.3
 ATL 20020201  4.26  1.96  0.09  0.00  0.20 256.9
 ATL 20020202  3.62  3.40  0.55  0.39  0.06 299.2
 ATL 20020203  3.59  2.23  0.07  0.24  0.29 306.4
 ATL 20020204  3.69  3.54  0.72  0.25  0.03 303.4
 ATL 20020205  4.18  3.37  0.07  0.57  0.27 274.9
 ATL 20020206  4.39  1.41  0.00  0.01  0.00 267.4
 ATL 20020207  5.06  2.71  0.12  0.14  0.14 240.2
 ATL 20020208  5.24  4.99  0.67  0.30  0.02 236.1
 ATL 20020209  4.61  3.85  0.44  0.31  0.10 266.1
 ATL 20020210  4.17  2.31  0.00  0.22  0.27 293.6
 ATL 20020211  4.07  3.45  0.59  0.19  0.05 303.6
 ATL 20020212  4.13  3.71  0.58  0.28  0.07 304.4
 ATL 20020213  3.99  3.10  0.25  0.37  0.19 318.5
 ATL 20020214  4.16  3.84  0.60  0.32  0.04 311.0
 ATL 20020215  5.24  3.63  0.05  0.42  0.24 258.6
 ATL 20020216  3.95  3.48  0.47  0.34  0.12 333.6
 ATL 20020217  4.38  4.27  0.84  0.16  0.00 309.5
 ATL 20020218  4.33  4.12  0.60  0.37  0.04 316.4
 ATL 20020219  4.41  3.20  0.08  0.43  0.26 315.2
 ATL 20020220  4.71  1.72  0.00  0.00  0.12 301.7
 ATL 20020221  4.80  3.65  0.24  0.34  0.21 300.8
 ATL 20020222  4.84  3.17  0.06  0.33  0.26 302.8
 ATL 20020223  4.75  4.22  0.51  0.33  0.09 312.0
 ATL 20020224  5.49  4.88  0.54  0.31  0.07 279.2
 ATL 20020225  5.55  4.73  0.40  0.36  0.14 280.4
 ATL 20020226  4.71  2.81  0.14  0.20  0.17 326.3
 ATL 20020227  4.29  3.15  0.28  0.29  0.15 358.2
 ATL 20020228  5.04  4.33  0.47  0.34  0.07 315.6
 ATL 20020301  5.71  4.35  0.14  0.43  0.25 287.5
 ATL 20020302  5.93  2.04  0.00  0.00  0.07 281.6
 ATL 20020303  5.71  3.19  0.00  0.22  0.28 294.1
 ATL 20020304  5.73  5.34  0.59  0.34  0.05 297.4
 ATL 20020305  6.13  5.50  0.56  0.30  0.07 283.9
 ATL 20020306  7.06  6.52  0.60  0.32  0.04 255.2
 ATL 20020307  6.02  4.58  0.18  0.40  0.22 295.2
 ATL 20020308  6.22  5.02  0.22  0.45  0.20 290.6
 ATL 20020310  6.90  6.64  0.70  0.30  0.00 272.5
 ATL 20020311  6.96  6.57  0.59  0.36  0.05 273.1
 ATL 20020312  6.43  3.22  0.08  0.16  0.09 295.3
 ATL 20020313  6.84  4.80  0.19  0.28  0.23 283.5
 ATL 20020314  8.86  7.46  0.39  0.34  0.16 231.0
 ATL 20020315  8.65  5.78  0.11  0.26  0.31 238.4
 ATL 20020316  8.04  5.18  0.08  0.24  0.33 255.8
 ATL 20020317  7.79  4.81  0.04  0.24  0.33 265.4
 ATL 20020318  8.26  5.33  0.06  0.30  0.28 255.1
 ATL 20020319  9.49  7.10  0.10  0.43  0.28 229.6
 ATL 20020320  9.38  6.23  0.07  0.32  0.28 234.4
 ATL 20020321  6.94  4.33  0.15  0.23  0.18 304.2
 ATL 20020322  6.29  6.07  0.72  0.28  0.00 334.1
 ATL 20020323  6.90  6.60  0.69  0.28  0.03 311.9
 ATL 20020324  7.60  7.19  0.62  0.32  0.06 290.0
 ATL 20020325  8.65  5.97  0.18  0.28  0.22 262.9
 ATL 20020326  8.68  4.84  0.05  0.16  0.28 264.4
 ATL 20020327  8.05  7.49  0.61  0.30  0.07 284.0
 ATL 20020328  8.05  7.50  0.56  0.36  0.07 286.5
 ATL 20020329  7.85  6.09  0.19  0.41  0.23 295.0
 ATL 20020330  7.51  3.95  0.06  0.15  0.20 308.6
 ATL 20020331  7.88  4.42  0.00  0.19  0.33 298.9
 ATL 20020401  8.22  7.83  0.68  0.27  0.05 291.3
 ATL 20020402  9.00  7.45  0.15  0.60  0.15 271.7
 ATL 20020403  8.18  5.16  0.03  0.21  0.42 296.5
 ATL 20020404  8.45  6.23  0.12  0.48  0.15 291.0
 ATL 20020405  8.05  7.33  0.46  0.49  0.00 305.0
 ATL 20020406  7.09  6.57  0.50  0.47  0.00 341.9
 ATL 20020407  7.71  6.77  0.48  0.36  0.07 320.7
 ATL 20020408  8.76  4.31  0.00  0.00  0.43 290.4
 ATL 20020409  9.60  3.57  0.01  0.00  0.12 270.8
 ATL 20020410  9.59  7.44  0.24  0.35  0.23 273.0
 ATL 20020411 10.14  5.52  0.03  0.02  0.48 262.6
 ATL 20020412  8.76  4.22  0.03  0.08  0.24 298.0
 ATL 20020413  8.70  4.25  0.00  0.00  0.42 301.5
 ATL 20020414  8.92  5.21  0.02  0.10  0.48 296.9
 ATL 20020415  9.91  7.55  0.08  0.47  0.29 273.4
 ATL 20020416 10.90  8.12  0.03  0.45  0.36 254.1
 ATL 20020417  9.88  7.54  0.05  0.48  0.33 277.2
 ATL 20020418  9.43  7.62  0.08  0.55  0.29 290.1
 ATL 20020419 10.01  7.22  0.05  0.47  0.24 277.1
 ATL 20020420 10.28  7.05  0.04  0.40  0.27 272.6
 ATL 20020421 10.97  9.19  0.10  0.62  0.23 260.1
 ATL 20020422 11.37 10.19  0.24  0.60  0.17 253.2
 ATL 20020423 10.12  9.17  0.29  0.63  0.07 280.2
 ATL 20020424  9.60  6.25  0.19  0.18  0.25 294.1
 ATL 20020425  9.25  7.15  0.10  0.46  0.30 304.5
 ATL 20020426  9.33  7.48  0.22  0.51  0.10 303.5
