 BDL 20020101  1.07  0.87  0.23  0.38  0.29 379.2
 BDL 20020102  1.21  1.08  0.34  0.43  0.23 339.2
 BDL 20020103  1.20  1.06  0.33  0.45  0.22 347.0
 BDL 20020104  1.17  0.94  0.25  0.37  0.27 359.6
 BDL 20020105  1.31  0.79  0.05  0.23  0.29 323.4
 BDL 20020106  1.36  0.70  0.03  0.18  0.18 315.3
 BDL 20020107  1.36  0.53  0.00  0.00  0.17 317.7
 BDL 20020108  1.26  1.16  0.44  0.42  0.14 344.1
 BDL 20020109  1.25  0.68  0.06  0.18  0.20 350.4
 BDL 20020110  1.27  0.79  0.08  0.21  0.32 349.5
 BDL 20020111  1.26  0.63  0.00  0.10  0.31 355.1
 BDL 20020112  1.28  0.96  0.23  0.33  0.20 353.7
 BDL 20020113  1.32  0.78  0.04  0.14  0.42 350.0
 BDL 20020114  1.45  1.18  0.24  0.42  0.22 323.6
 BDL 20020115  1.45  0.84  0.00  0.20  0.36 327.7
 BDL 20020116  1.50  1.25  0.21  0.44  0.29 321.3
 BDL 20020117  1.43  0.77  0.00  0.14  0.34 340.2
 BDL 20020118  1.25  0.88  0.08  0.30  0.39 393.5
 BDL 20020119  1.40  0.78  0.00  0.23  0.26 356.1
 BDL 20020120  1.38  1.18  0.29  0.44  0.22 366.8
 BDL 20020121  1.73  0.65  0.00  0.03  0.11 300.0
 BDL 20020122  1.55  1.26  0.23  0.40  0.26 338.0
 BDL 20020123  1.79  0.98  0.07  0.20  0.17 301.0
 BDL 20020124  1.78  0.60  0.00  0.00  0.06 308.2
 BDL 20020125  1.54  1.26  0.23  0.37  0.31 357.3
 BDL 20020126  1.76  1.25  0.09  0.36  0.30 321.4
 BDL 20020127  1.96  1.70  0.34  0.46  0.14 295.5
 BDL 20020128  2.04  1.72  0.42  0.34  0.12 289.9
 BDL 20020129  2.20  1.21  0.03  0.18  0.27 274.0
 BDL 20020130  2.38  0.79  0.00  0.00  0.04 260.2
 BDL 20020131  2.74  0.90  0.00  0.00  0.03 233.4
 BDL 20020201  2.83  1.44  0.05  0.16  0.16 230.8
 BDL 20020202  2.01  1.85  0.52  0.35  0.12 318.7
 BDL 20020203  1.81  1.32  0.17  0.35  0.23 357.3
 BDL 20020204  1.61  0.87  0.03  0.16  0.28 408.2
 BDL 20020205  1.69  1.52  0.37  0.44  0.19 395.7
 BDL 20020206  1.80  1.49  0.32  0.39  0.17 379.1
 BDL 20020207  2.21  1.20  0.05  0.19  0.20 319.8
 BDL 20020208  2.30  1.88  0.31  0.37  0.19 313.8
 BDL 20020209  2.71  2.53  0.62  0.34  0.00 274.3
 BDL 20020210  2.40  1.67  0.05  0.43  0.24 311.7
 BDL 20020211  2.06  1.61  0.20  0.30  0.38 364.9
 BDL 20020212  2.18  1.80  0.20  0.50  0.21 353.8
 BDL 20020213  1.96  1.76  0.42  0.37  0.21 398.3
 BDL 20020214  2.34  2.10  0.39  0.42  0.18 343.7
 BDL 20020215  2.36  2.05  0.21  0.55  0.23 347.6
 BDL 20020216  2.22  1.45  0.08  0.28  0.30 374.2
 BDL 20020217  2.25  0.81  0.00  0.00  0.11 375.6
 BDL 20020218  2.42  2.29  0.61  0.36  0.03 358.3
 BDL 20020219  2.57  2.39  0.47  0.46  0.07 344.6
 BDL 20020220  2.62  1.68  0.13  0.26  0.21 344.5
 BDL 20020221  2.77  1.55  0.00  0.20  0.31 333.7
 BDL 20020222  2.79  1.46  0.04  0.10  0.30 337.5
 BDL 20020223  2.46  2.05  0.26  0.40  0.27 385.9
 BDL 20020224  2.82  2.47  0.46  0.38  0.07 347.1
 BDL 20020225  3.16  2.67  0.29  0.48  0.13 318.7
 BDL 20020226  2.80  2.00  0.09  0.40  0.26 362.1
 BDL 20020227  3.11  1.24  0.02  0.07  0.07 334.3
 BDL 20020228  2.77  2.52  0.42  0.43  0.15 377.5
 BDL 20020301  3.07  2.73  0.34  0.44  0.22 349.8
 BDL 20020302  3.53  2.45  0.08  0.41  0.21 314.3
 BDL 20020303  3.66  1.39  0.02  0.06  0.04 309.5
 BDL 20020304  3.25  2.77  0.25  0.44  0.27 349.4
 BDL 20020305  3.05  2.34  0.23  0.29  0.31 377.0
 BDL 20020306  3.29  2.05  0.16  0.22  0.17 357.4
 BDL 20020307  3.58  2.46  0.11  0.35  0.23 338.0
 BDL 20020308  3.99  3.35  0.27  0.46  0.18 311.6
 BDL 20020310  3.90  3.13  0.16  0.34  0.44 327.6
 BDL 20020311  3.26  2.65  0.29  0.37  0.21 390.5
 BDL 20020312  3.47  1.49  0.01  0.09  0.13 374.0
 BDL 20020313  4.18  1.39  0.00  0.00  0.04 323.2
 BDL 20020314  4.94  3.90  0.34  0.34  0.11 284.0
 BDL 20020315  6.11  3.38  0.05  0.21  0.20 241.0
 BDL 20020316  5.30  2.28  0.06  0.07  0.08 275.3
 BDL 20020317  5.15  4.43  0.41  0.41  0.07 286.4
 BDL 20020318  5.24  2.37  0.00  0.08  0.22 286.4
 BDL 20020319  4.67  3.10  0.17  0.26  0.20 320.2
 BDL 20020320  5.11  1.88  0.00  0.02  0.10 300.1
 BDL 20020321  4.27  3.16  0.11  0.41  0.27 355.3
 BDL 20020322  3.66  3.05  0.28  0.33  0.33 412.5
 BDL 20020323  3.62  2.88  0.31  0.33  0.19 422.2
 BDL 20020324  4.21  2.89  0.11  0.32  0.27 373.5
 BDL 20020325  5.05  2.87  0.15  0.18  0.11 323.2
 BDL 20020326  6.15  2.79  0.04  0.12  0.10 277.0
 BDL 20020327  5.53  3.02  0.00  0.19  0.29 306.9
 BDL 20020328  4.65  4.17  0.46  0.33  0.19 360.4
 BDL 20020329  4.37  2.89  0.20  0.25  0.16 385.2
 BDL 20020330  4.53  1.87  0.00  0.09  0.11 377.5
 BDL 20020331  5.30  2.03  0.00  0.06  0.08 333.6
 BDL 20020401  4.99  2.78  0.00  0.14  0.39 355.4
 BDL 20020402  5.14  3.03  0.11  0.20  0.20 350.0
 BDL 20020403  4.80  2.73  0.00  0.28  0.22 375.2
 BDL 20020404  4.64  4.00  0.18  0.52  0.30 391.1
 BDL 20020405  5.28  4.29  0.06  0.54  0.35 353.3
 BDL 20020406  4.28  3.31  0.16  0.36  0.34 428.2
 BDL 20020407  4.63  4.22  0.29  0.64  0.07 403.8
 BDL 20020408  5.10  2.70  0.01  0.23  0.18 375.1
 BDL 20020409  6.28  2.94  0.00  0.12  0.20 317.3
 BDL 20020410  7.47  6.75  0.48  0.44  0.02 276.6
 BDL 20020411  8.12  6.18  0.26  0.38  0.12 260.8
 BDL 20020412  7.33  6.69  0.42  0.54  0.00 286.6
 BDL 20020413  6.88  3.77  0.09  0.21  0.12 304.5
 BDL 20020414  6.08  4.08  0.01  0.36  0.34 340.8
 BDL 20020415  6.68  4.52  0.00  0.29  0.47 317.5
 BDL 20020416  8.09  7.23  0.19  0.69  0.12 272.4
 BDL 20020417  8.19  7.10  0.15  0.59  0.26 271.7
 BDL 20020418  7.51  6.41  0.26  0.56  0.09 294.8
 BDL 20020419  6.99  5.03  0.00  0.47  0.32 315.5
 BDL 20020420  6.59  5.04  0.22  0.42  0.14 334.3
 BDL 20020421  6.88  5.71  0.18  0.55  0.18 324.6
 BDL 20020422  7.67  2.58  0.00  0.00  0.05 298.2
 BDL 20020423  6.73  5.11  0.06  0.39  0.43 335.4
 BDL 20020424  6.53  5.77  0.20  0.59  0.22 345.8
 BDL 20020425  6.30  3.77  0.17  0.28  0.01 359.0
 BDL 20020426  5.46  4.54  0.05  0.55  0.40 408.8
 BDL 20020427  6.46  5.68  0.21  0.64  0.12 355.9
 BDL 20020428  6.58  2.21  0.00  0.00  0.05 352.7
 BDL 20020429  6.43  3.46  0.03  0.10  0.35 362.0
 BDL 20020430  5.87  4.01  0.00  0.35  0.40 393.7
 BDL 20020501  5.86  4.85  0.09  0.55  0.32 396.4
 BDL 20020503  6.23  5.12  0.08  0.44  0.48 380.3
 BDL 20020504  8.24  7.60  0.35  0.61  0.04 301.4
 BDL 20020505  7.46  6.56  0.19  0.60  0.21 329.2
 BDL 20020506  6.63  5.83  0.19  0.63  0.17 365.5
 BDL 20020507  7.12  4.77  0.00  0.34  0.38 345.6
 BDL 20020508  7.51  6.43  0.37  0.50  0.00 332.4
 BDL 20020509  9.05  3.14  0.00  0.04  0.02 285.8
 BDL 20020510  8.86  8.04  0.32  0.57  0.11 292.2
 BDL 20020511  8.04  7.23  0.28  0.58  0.14 318.1
 BDL 20020512  8.07  2.65  0.00  0.00  0.03 318.2
 BDL 20020513  7.80  2.46  0.00  0.00  0.00 328.5
 BDL 20020514  7.50  5.05  0.00  0.27  0.49 340.8
 BDL 20020515  7.09  5.14  0.01  0.31  0.54 358.3
 BDL 20020516  7.29  5.47  0.02  0.47  0.36 350.8
 BDL 20020517  7.33  5.52  0.10  0.44  0.28 350.6
 BDL 20020518  7.46  2.78  0.03  0.00  0.09 346.6
 BDL 20020519  7.41  6.34  0.15  0.53  0.32 349.9
 BDL 20020520  7.80  6.51  0.08  0.54  0.37 336.5
 BDL 20020521  7.11  5.41  0.13  0.34  0.39 364.7
 BDL 20020522  7.04  6.16  0.14  0.66  0.20 368.7
 BDL 20020523  7.25  6.64  0.31  0.63  0.06 360.4
 BDL 20020524  6.68  4.50  0.03  0.35  0.33 387.3
 BDL 20020525  7.39  6.87  0.39  0.59  0.02 356.2
 BDL 20020526  8.43  4.93  0.00  0.25  0.30 319.5
 BDL 20020527  8.39  6.37  0.08  0.48  0.27 321.6
 BDL 20020528  8.45  6.07  0.00  0.46  0.33 320.2
 BDL 20020529  8.46  5.15  0.02  0.27  0.30 320.8
 BDL 20020530  8.22  5.22  0.06  0.36  0.17 329.2
 BDL 20020531  8.38  5.33  0.00  0.34  0.30 324.3
 BDL 20020601  8.85  7.87  0.25  0.57  0.18 310.6
 BDL 20020602  7.34  6.04  0.08  0.52  0.37 364.0
 BDL 20020603  7.93  7.13  0.26  0.61  0.13 341.4
 BDL 20020604  9.20  6.70  0.17  0.42  0.13 301.5
 BDL 20020605  9.52  5.93  0.01  0.32  0.28 293.8
 BDL 20020606  9.20  4.32  0.02  0.20  0.06 302.4
 BDL 20020607  8.92  5.21  0.01  0.28  0.24 310.8
 BDL 20020608 10.42  8.73  0.19  0.60  0.11 273.2
 BDL 20020609  8.50  7.06  0.09  0.57  0.30 323.9
 BDL 20020611  9.25  6.86  0.07  0.49  0.23 302.4
 BDL 20020612  9.71  4.17  0.00  0.09  0.15 291.1
 BDL 20020613  9.21  6.93  0.05  0.56  0.19 303.8
 BDL 20020614  9.96  3.65  0.04  0.04  0.00 285.0
 BDL 20020615  8.97  3.09  0.00  0.00  0.07 311.1
 BDL 20020616  9.39  6.37  0.00  0.30  0.46 299.0
 BDL 20020617  8.43  6.72  0.05  0.51  0.37 327.8
 BDL 20020618  7.81  6.72  0.14  0.57  0.29 349.2
 BDL 20020619  8.14  6.57  0.14  0.45  0.33 337.9
 BDL 20020620  8.47  7.38  0.18  0.64  0.15 326.4
 BDL 20020621  8.13  7.31  0.20  0.68  0.13 338.1
 BDL 20020622  7.75  5.32  0.09  0.40  0.19 351.3
 BDL 20020623  8.18  6.72  0.11  0.53  0.30 336.0
 BDL 20020624  8.88  7.86  0.21  0.63  0.15 313.7
 BDL 20020625  9.24  7.11  0.07  0.51  0.27 303.1
 BDL 20020626  8.86  7.21  0.09  0.57  0.26 314.0
 BDL 20020627  8.86  6.89  0.00  0.52  0.39 313.8
 BDL 20020628  9.06  6.72  0.00  0.43  0.43 308.0
 BDL 20020629  9.88  8.33  0.12  0.62  0.21 286.4
 BDL 20020630  9.93  7.93  0.07  0.61  0.20 285.2
 BDL 20020701  8.07  5.38  0.00  0.35  0.36 338.6
 BDL 20020702  8.40  7.00  0.07  0.59  0.31 326.4
 BDL 20020703  8.58  6.83  0.02  0.60  0.29 320.5
 BDL 20020704  8.97  7.53  0.10  0.58  0.29 308.5
 BDL 20020705  8.93  7.80  0.16  0.59  0.26 309.4
 BDL 20020706  8.47  6.21  0.00  0.38  0.48 322.7
 BDL 20020707  8.32  7.17  0.11  0.63  0.26 327.1
 BDL 20020708  8.32  7.27  0.11  0.70  0.19 326.7
 BDL 20020709  9.37  7.02  0.00  0.50  0.35 295.6
 BDL 20020710  8.77  7.71  0.18  0.62  0.20 312.3
 BDL 20020711  7.75  6.79  0.19  0.59  0.22 345.3
 BDL 20020712  8.05  7.17  0.19  0.65  0.17 333.7
 BDL 20020713  7.66  6.75  0.15  0.65  0.21 346.8
 BDL 20020714  7.90  6.20  0.09  0.49  0.30 337.5
 BDL 20020715  7.75  5.97  0.03  0.48  0.38 342.1
 BDL 20020716  7.95  6.46  0.04  0.59  0.31 334.4
 BDL 20020717  8.08  5.56  0.00  0.41  0.33 329.0
 BDL 20020718  8.63  6.00  0.00  0.45  0.29 310.9
 BDL 20020719  8.60  5.59  0.00  0.35  0.32 310.8
 BDL 20020720  8.27  6.46  0.02  0.58  0.28 320.3
 BDL 20020721  8.25  6.94  0.13  0.64  0.16 319.9
 BDL 20020722  8.89  7.56  0.12  0.64  0.20 299.4
 BDL 20020723  8.83  6.29  0.00  0.45  0.33 300.2
 BDL 20020724  8.35  5.23  0.00  0.33  0.29 314.0
 BDL 20020725  8.25  6.53  0.14  0.55  0.15 315.9
 BDL 20020726  8.17  5.45  0.10  0.32  0.24 317.5
 BDL 20020727  8.07  5.78  0.02  0.44  0.32 319.7
 BDL 20020728  8.19  4.32  0.00  0.13  0.33 314.6
 BDL 20020729  8.17  6.72  0.03  0.66  0.25 314.2
 BDL 20020730  8.49  6.50  0.00  0.50  0.39 303.0
 BDL 20020731  8.05  7.13  0.17  0.67  0.16 315.6
