 BIL 20020101  0.90  0.86  0.76  0.23  0.00 340.2
 BIL 20020102  0.97  0.91  0.51  0.39  0.11 316.6
 BIL 20020103  0.95  0.70  0.03  0.46  0.34 329.1
 BIL 20020104  1.02  0.85  0.21  0.46  0.26 309.0
 BIL 20020105  1.03  0.77  0.14  0.40  0.27 310.2
 BIL 20020106  1.03  0.94  0.39  0.46  0.16 313.9
 BIL 20020107  1.08  0.80  0.01  0.44  0.39 302.2
 BIL 20020108  1.12  0.81  0.00  0.45  0.36 295.2
 BIL 20020109  1.01  0.79  0.21  0.39  0.24 327.9
 BIL 20020110  1.14  1.04  0.44  0.43  0.13 295.1
 BIL 20020111  1.09  0.92  0.26  0.46  0.21 311.6
 BIL 20020112  1.03  0.79  0.10  0.42  0.33 334.1
 BIL 20020113  0.97  0.82  0.25  0.44  0.24 360.8
 BIL 20020114  1.01  0.85  0.34  0.40  0.14 351.9
 BIL 20020115  1.01  0.74  0.17  0.38  0.19 359.9
 BIL 20020116  0.98  0.83  0.27  0.46  0.20 374.5
 BIL 20020117  0.99  0.64  0.25  0.17  0.16 380.5
 BIL 20020118  0.95  0.70  0.27  0.26  0.20 401.3
 BIL 20020119  1.02  0.70  0.03  0.36  0.35 379.4
 BIL 20020120  0.98  0.72  0.10  0.38  0.32 400.5
 BIL 20020121  1.12  0.86  0.00  0.54  0.34 353.7
 BIL 20020122  1.12  0.87  0.08  0.49  0.29 363.1
 BIL 20020123  1.09  0.88  0.20  0.43  0.25 380.4
 BIL 20020124  1.21  0.96  0.08  0.48  0.36 350.8
 BIL 20020125  1.15  0.88  0.00  0.49  0.39 375.0
 BIL 20020126  1.23  0.90  0.00  0.48  0.33 358.4
 BIL 20020127  1.43  0.95  0.03  0.39  0.25 315.4
 BIL 20020128  1.41  0.68  0.01  0.10  0.24 325.6
 BIL 20020129  1.29  1.13  0.41  0.40  0.12 361.5
 BIL 20020130  1.34  1.11  0.32  0.41  0.14 355.0
 BIL 20020131  1.29  1.00  0.21  0.37  0.25 374.8
 BIL 20020201  1.36  0.95  0.03  0.39  0.33 365.3
 BIL 20020202  1.44  1.14  0.14  0.46  0.27 351.5
 BIL 20020203  1.54  1.42  0.47  0.42  0.11 338.5
 BIL 20020204  1.55  1.27  0.24  0.44  0.22 343.8
 BIL 20020205  1.71  1.59  0.52  0.39  0.09 320.0
 BIL 20020206  1.63  1.37  0.22  0.50  0.21 340.2
 BIL 20020207  1.72  1.30  0.00  0.51  0.36 330.8
 BIL 20020208  1.84  0.95  0.00  0.12  0.32 317.2
 BIL 20020209  2.02  1.83  0.53  0.35  0.08 296.5
 BIL 20020210  2.32  2.12  0.43  0.43  0.14 266.6
 BIL 20020211  1.69  1.35  0.12  0.48  0.30 365.1
 BIL 20020212  1.63  1.46  0.40  0.43  0.14 386.7
 BIL 20020213  1.84  1.66  0.37  0.46  0.17 352.3
 BIL 20020214  1.75  1.05  0.21  0.11  0.20 378.2
 BIL 20020215  2.21  1.98  0.36  0.46  0.17 310.6
 BIL 20020216  2.05  1.93  0.57  0.38  0.05 339.1
 BIL 20020217  2.06  1.57  0.07  0.49  0.28 345.3
 BIL 20020218  1.87  1.22  0.14  0.27  0.21 385.6
 BIL 20020219  2.20  1.83  0.26  0.45  0.20 337.9
 BIL 20020220  2.26  1.93  0.36  0.39  0.17 336.0
 BIL 20020221  2.31  1.94  0.16  0.53  0.26 335.7
 BIL 20020222  2.29  1.82  0.00  0.54  0.40 346.6
 BIL 20020223  2.28  1.29  0.00  0.22  0.30 354.9
