 BIS 20030101  0.78  0.31  0.06  0.00  0.10 347.6
 BIS 20030102  0.79  0.67  0.40  0.32  0.17 344.4
 BIS 20030103  0.79  0.54  0.01  0.41  0.29 350.2
 BIS 20030104  0.69  0.52  0.33  0.27  0.15 407.9
 BIS 20030105  0.76  0.51  0.25  0.25  0.11 372.4
 BIS 20030106  0.79  0.65  0.48  0.27  0.07 360.7
 BIS 20030107  0.95  0.90  0.65  0.31  0.03 302.6
 BIS 20030108  1.05  0.93  0.46  0.37  0.11 280.2
 BIS 20030109  0.84  0.56  0.04  0.37  0.27 352.8
 BIS 20030110  0.82  0.76  0.63  0.25  0.09 363.7
 BIS 20030111  0.75  0.71  0.74  0.21  0.02 405.9
 BIS 20030112  0.83  0.69  0.28  0.40  0.23 370.2
 BIS 20030113  0.91  0.42  0.01  0.13  0.15 342.7
 BIS 20030114  0.88  0.82  0.55  0.37  0.08 361.6
 BIS 20030115  0.88  0.61  0.26  0.24  0.15 366.2
 BIS 20030116  0.86  0.84  0.77  0.21  0.02 379.4
 BIS 20030117  0.95  0.72  0.21  0.33  0.28 352.7
 BIS 20030118  0.94  0.67  0.12  0.38  0.23 361.2
 BIS 20030119  1.03  0.57  0.00  0.24  0.25 335.6
 BIS 20030120  1.12  0.76  0.10  0.32  0.26 312.8
 BIS 20030121  0.99  0.62  0.08  0.25  0.26 358.1
 BIS 20030122  0.87  0.73  0.51  0.22  0.11 416.8
 BIS 20030123  1.10  0.72  0.07  0.31  0.27 336.3
 BIS 20030124  1.06  0.72  0.14  0.31  0.22 357.6
 BIS 20030125  1.06  0.60  0.09  0.18  0.21 366.7
 BIS 20030126  1.09  0.88  0.30  0.34  0.22 362.1
 BIS 20030127  1.24  0.86  0.03  0.44  0.24 324.0
 BIS 20030128  1.14  0.73  0.07  0.32  0.22 361.7
 BIS 20030129  1.02  0.86  0.57  0.22  0.02 410.8
 BIS 20030130  1.17  0.69  0.00  0.27  0.29 365.7
 BIS 20030131  1.13  0.75  0.00  0.39  0.29 385.3
 BIS 20030201  1.16  0.68  0.00  0.27  0.27 384.6
 BIS 20030202  1.10  0.59  0.05  0.19  0.19 416.6
 BIS 20030203  1.07  0.74  0.28  0.21  0.16 438.0
 BIS 20030204  1.03  0.74  0.17  0.33  0.23 468.2
 BIS 20030205  1.00  0.54  0.10  0.14  0.17 493.2
 BIS 20030206  1.06  0.85  0.62  0.12  0.00 475.3
 BIS 20030207  1.26  0.97  0.09  0.43  0.35 406.8
 BIS 20030208  1.16  0.76  0.21  0.22  0.18 450.6
 BIS 20030209  1.14  0.76  0.15  0.29  0.19 466.9
 BIS 20030210  1.24  0.81  0.01  0.34  0.32 437.7
 BIS 20030211  1.32  0.96  0.40  0.19  0.08 422.0
 BIS 20030212  1.34  1.21  0.41  0.40  0.18 424.3
 BIS 20030213  1.49  1.13  0.28  0.36  0.11 391.8
 BIS 20030214  1.66  0.87  0.00  0.23  0.18 362.3
 BIS 20030215  1.78  1.19  0.25  0.19  0.18 346.7
 BIS 20030216  1.75  1.38  0.47  0.20  0.10 359.8
 BIS 20030217  1.68  1.09  0.12  0.28  0.21 380.2
 BIS 20030218  1.66  1.15  0.12  0.35  0.23 394.9
 BIS 20030219  1.67  1.43  0.37  0.38  0.17 400.0
 BIS 20030220  1.66  1.08  0.00  0.36  0.31 411.7
 BIS 20030221  1.75  0.75  0.00  0.06  0.19 400.4
 BIS 20030222  1.59  0.74  0.05  0.08  0.17 448.1
