 BOI 20020101  1.21  0.81  0.17  0.31  0.14 309.1
 BOI 20020102  1.31  0.57  0.02  0.01  0.24 288.2
 BOI 20020103  1.28  0.79  0.14  0.21  0.22 298.2
 BOI 20020104  1.41  1.08  0.24  0.43  0.10 274.2
 BOI 20020105  1.29  0.74  0.00  0.27  0.25 302.2
 BOI 20020106  1.24  0.50  0.01  0.00  0.19 315.3
 BOI 20020107  1.48  0.76  0.00  0.13  0.30 269.7
 BOI 20020108  1.47  0.67  0.00  0.06  0.26 273.9
 BOI 20020109  1.34  1.00  0.23  0.38  0.13 302.1
 BOI 20020110  1.46  1.25  0.39  0.43  0.07 281.6
 BOI 20020111  1.39  1.05  0.21  0.42  0.13 297.7
 BOI 20020112  1.36  0.91  0.11  0.30  0.26 308.0
 BOI 20020113  1.24  0.93  0.07  0.52  0.21 340.5
 BOI 20020114  1.22  0.72  0.00  0.28  0.27 350.4
 BOI 20020115  1.21  1.00  0.23  0.43  0.27 360.9
 BOI 20020116  1.27  0.99  0.23  0.43  0.15 348.9
 BOI 20020117  1.20  0.77  0.18  0.24  0.17 374.5
 BOI 20020118  1.23  1.03  0.30  0.46  0.13 370.4
 BOI 20020119  1.29  0.75  0.01  0.20  0.34 358.4
 BOI 20020120  1.21  0.53  0.00  0.04  0.25 388.3
 BOI 20020121  1.31  0.69  0.02  0.10  0.33 361.6
 BOI 20020122  1.32  0.71  0.00  0.14  0.33 365.3
 BOI 20020123  1.35  0.88  0.15  0.27  0.19 366.4
 BOI 20020124  1.50  0.96  0.06  0.33  0.23 337.1
 BOI 20020125  1.50  0.74  0.00  0.07  0.33 342.5
 BOI 20020126  1.49  0.86  0.00  0.25  0.28 350.4
 BOI 20020127  1.56  1.08  0.02  0.40  0.31 341.3
 BOI 20020128  1.55  0.86  0.00  0.22  0.28 349.6
 BOI 20020129  1.47  1.13  0.17  0.42  0.24 374.5
 BOI 20020130  1.52  1.07  0.22  0.33  0.12 367.6
 BOI 20020131  1.53  0.95  0.07  0.29  0.22 372.0
 BOI 20020201  1.68  0.95  0.07  0.15  0.28 346.0
 BOI 20020202  1.76  1.26  0.09  0.43  0.22 338.2
 BOI 20020203  1.83  1.35  0.14  0.39  0.25 332.7
 BOI 20020204  2.02  1.73  0.45  0.40  0.02 310.7
 BOI 20020205  2.14  1.75  0.26  0.44  0.17 299.3
 BOI 20020206  1.93  1.10  0.00  0.25  0.27 336.4
 BOI 20020207  2.13  1.06  0.00  0.08  0.33 311.9
 BOI 20020208  2.09  1.43  0.07  0.31  0.34 322.5
