 BOI 20030101  1.18  0.68  0.04  0.29  0.15 315.1
 BOI 20030102  1.25  0.61  0.04  0.11  0.21 301.4
 BOI 20030103  1.20  0.65  0.00  0.18  0.30 317.5
 BOI 20030104  1.24  0.73  0.13  0.16  0.23 309.3
 BOI 20030105  1.13  0.87  0.20  0.46  0.13 344.2
 BOI 20030106  1.37  1.20  0.54  0.34  0.00 287.0
 BOI 20030107  1.50  1.32  0.52  0.36  0.00 266.2
 BOI 20030108  1.52  1.30  0.52  0.33  0.00 266.2
 BOI 20030109  1.42  1.03  0.20  0.37  0.15 286.8
 BOI 20030110  1.25  0.65  0.03  0.14  0.24 324.0
 BOI 20030111  1.16  0.73  0.04  0.31  0.25 353.6
 BOI 20030112  1.40  0.79  0.03  0.20  0.28 299.5
 BOI 20030113  1.37  0.71  0.00  0.14  0.29 310.4
 BOI 20030114  1.39  0.70  0.01  0.11  0.28 311.2
 BOI 20030115  1.31  1.07  0.25  0.48  0.14 334.8
 BOI 20030116  1.43  1.11  0.18  0.45  0.19 310.2
 BOI 20030117  1.45  1.31  0.39  0.49  0.09 310.5
 BOI 20030118  1.46  1.30  0.38  0.49  0.08 313.7
 BOI 20030119  1.45  1.15  0.14  0.49  0.23 318.9
 BOI 20030120  1.44  1.03  0.08  0.44  0.22 326.7
 BOI 20030121  1.45  0.62  0.00  0.02  0.25 329.0
 BOI 20030122  1.45  0.57  0.00  0.00  0.18 335.1
 BOI 20030123  1.50  0.93  0.01  0.33  0.26 330.7
 BOI 20030124  1.46  0.77  0.00  0.15  0.31 345.2
 BOI 20030125  1.54  0.89  0.00  0.24  0.29 333.6
 BOI 20030126  1.71  0.80  0.00  0.07  0.28 308.5
 BOI 20030127  1.77  0.96  0.01  0.17  0.30 303.1
 BOI 20030128  1.59  1.00  0.00  0.39  0.22 341.4
 BOI 20030129  1.57  1.09  0.08  0.39  0.24 351.5
 BOI 20030130  1.64  0.87  0.00  0.15  0.31 341.8
 BOI 20030131  1.72  0.80  0.00  0.05  0.30 332.6
 BOI 20030201  1.64  0.68  0.00  0.00  0.24 356.3
 BOI 20030202  1.42  1.05  0.16  0.38  0.22 416.5
 BOI 20030203  1.51  1.00  0.11  0.28  0.27 402.8
 BOI 20030204  1.45  1.01  0.15  0.31  0.25 426.6
 BOI 20030205  1.51  1.07  0.13  0.36  0.23 416.9
 BOI 20030206  1.42  1.36  0.67  0.31  0.02 452.9
 BOI 20030207  1.52  1.36  0.37  0.47  0.13 429.5
 BOI 20030208  1.62  1.32  0.29  0.40  0.17 410.8
 BOI 20030209  1.66  1.47  0.47  0.39  0.05 408.6
 BOI 20030210  1.67  1.41  0.46  0.33  0.06 413.3
 BOI 20030211  1.96  1.78  0.56  0.37  0.00 363.4
 BOI 20030212  2.11  1.69  0.19  0.44  0.25 346.6
 BOI 20030213  2.18  1.20  0.03  0.18  0.27 342.5
 BOI 20030214  2.23  1.36  0.16  0.15  0.24 342.6
 BOI 20030215  2.28  1.71  0.11  0.43  0.27 342.8
 BOI 20030216  2.19  1.11  0.05  0.07  0.29 362.6
 BOI 20030217  2.15  1.29  0.00  0.27  0.31 374.9
 BOI 20030218  2.13  1.50  0.14  0.31  0.28 384.6
 BOI 20030219  2.44  1.57  0.05  0.29  0.30 345.8
 BOI 20030220  2.29  1.53  0.13  0.30  0.22 373.2
 BOI 20030221  2.51  1.58  0.17  0.17  0.25 350.7
 BOI 20030222  2.12  1.64  0.17  0.38  0.30 417.2
 BOI 20030223  2.26  1.81  0.19  0.44  0.24 401.1
 BOI 20030224  2.16  1.98  0.50  0.37  0.12 427.7
 BOI 20030225  2.26  2.08  0.52  0.36  0.11 417.3
 BOI 20030226  2.47  2.16  0.35  0.45  0.15 390.9
 BOI 20030227  2.45  1.86  0.14  0.39  0.30 401.1
 BOI 20030228  2.37  1.94  0.29  0.40  0.18 421.4
 BOI 20030301  2.37  1.87  0.29  0.32  0.22 428.8
 BOI 20030302  2.83  2.43  0.27  0.49  0.19 371.0
 BOI 20030303  2.56  1.56  0.00  0.23  0.39 415.0
 BOI 20030304  2.58  2.02  0.23  0.35  0.26 418.5
 BOI 20030305  2.98  1.93  0.16  0.21  0.25 374.0
 BOI 20030306  3.10  1.69  0.00  0.14  0.36 367.1
 BOI 20030307  2.95  1.62  0.00  0.16  0.34 390.8
 BOI 20030308  3.10  1.90  0.07  0.24  0.27 379.7
 BOI 20030309  2.99  1.68  0.01  0.17  0.34 398.4
 BOI 20030310  3.24  2.12  0.05  0.29  0.33 376.7
 BOI 20030311  3.31  2.23  0.05  0.34  0.31 375.9
 BOI 20030312  3.33  2.31  0.10  0.33  0.29 380.3
 BOI 20030313  3.72  2.46  0.05  0.28  0.36 350.2
 BOI 20030314  3.80  2.74  0.10  0.31  0.38 348.8
 BOI 20030315  3.94  2.24  0.03  0.14  0.37 343.9
 BOI 20030316  3.35  2.20  0.09  0.27  0.30 403.1
 BOI 20030317  3.67  2.79  0.19  0.34  0.29 376.9
 BOI 20030318  3.73  3.14  0.33  0.35  0.24 377.5
 BOI 20030319  3.81  3.40  0.46  0.36  0.14 375.9
 BOI 20030320  3.97  3.02  0.22  0.34  0.24 367.6
 BOI 20030321  4.05  2.58  0.05  0.30  0.28 367.0
 BOI 20030322  4.44  2.28  0.00  0.08  0.37 343.1
 BOI 20030323  4.16  3.63  0.28  0.45  0.26 368.6
 BOI 20030324  3.89  3.31  0.27  0.45  0.22 396.1
 BOI 20030325  4.53  2.66  0.06  0.18  0.31 351.6
 BOI 20030326  4.74  2.45  0.03  0.05  0.37 342.9
 BOI 20030327  3.97  2.74  0.09  0.30  0.34 405.5
 BOI 20030328  4.25  3.88  0.43  0.43  0.14 387.1
 BOI 20030329  4.96  4.06  0.27  0.41  0.20 342.3
 BOI 20030330  5.43  4.63  0.21  0.49  0.27 320.4
 BOI 20030331  5.37  3.19  0.04  0.22  0.30 327.7
 BOI 20030401  4.96  2.48  0.01  0.06  0.35 355.4
 BOI 20030402  4.18  2.72  0.00  0.23  0.49 417.5
 BOI 20030403  3.83  2.02  0.00  0.16  0.29 456.8
 BOI 20030404  4.20  1.94  0.00  0.01  0.34 424.8
 BOI 20030405  4.20  2.46  0.00  0.16  0.43 430.2
 BOI 20030406  4.32  2.65  0.02  0.15  0.48 424.3
 BOI 20030407  4.92  3.90  0.14  0.43  0.32 382.2
