 BOS 20020101  1.04  0.97  0.55  0.36  0.08 376.5
 BOS 20020102  1.14  1.08  0.57  0.38  0.06 346.3
 BOS 20020103  1.14  1.05  0.42  0.46  0.13 350.3
 BOS 20020104  1.10  0.93  0.35  0.40  0.14 365.3
 BOS 20020105  1.25  0.85  0.09  0.38  0.20 327.3
 BOS 20020106  1.30  0.62  0.00  0.14  0.20 318.4
 BOS 20020107  1.33  0.51  0.00  0.04  0.11 312.2
 BOS 20020108  1.23  1.05  0.45  0.32  0.11 340.5
 BOS 20020109  1.20  0.64  0.02  0.21  0.20 351.3
 BOS 20020110  1.23  0.98  0.29  0.37  0.18 347.8
 BOS 20020111  1.20  0.76  0.02  0.35  0.25 359.7
 BOS 20020112  1.20  1.08  0.45  0.42  0.09 363.9
 BOS 20020113  1.29  0.70  0.03  0.21  0.22 345.3
 BOS 20020114  1.38  1.19  0.35  0.39  0.20 327.3
 BOS 20020115  1.39  0.68  0.01  0.18  0.15 330.0
 BOS 20020116  1.42  1.28  0.43  0.41  0.14 327.2
 BOS 20020117  1.38  0.70  0.00  0.16  0.24 340.7
 BOS 20020118  1.20  0.94  0.20  0.40  0.25 396.2
 BOS 20020119  1.32  0.70  0.00  0.21  0.22 364.1
 BOS 20020120  1.31  1.13  0.42  0.38  0.10 373.6
 BOS 20020121  1.63  0.75  0.00  0.13  0.17 307.1
 BOS 20020122  1.45  1.33  0.45  0.41  0.14 347.2
 BOS 20020123  1.70  1.14  0.14  0.34  0.15 305.1
 BOS 20020124  1.68  0.62  0.00  0.01  0.11 314.7
 BOS 20020125  1.46  1.32  0.49  0.37  0.10 364.7
 BOS 20020126  1.63  1.21  0.07  0.46  0.28 334.2
 BOS 20020127  1.82  1.32  0.15  0.37  0.23 306.3
 BOS 20020128  1.94  1.79  0.48  0.40  0.12 293.0
 BOS 20020129  2.08  1.31  0.05  0.33  0.22 280.1
 BOS 20020130  2.26  0.95  0.00  0.07  0.16 263.8
 BOS 20020131  2.60  0.94  0.00  0.01  0.10 236.5
 BOS 20020201  2.69  1.23  0.00  0.16  0.12 234.3
 BOS 20020202  1.95  1.82  0.56  0.33  0.11 317.3
 BOS 20020203  1.76  1.16  0.11  0.31  0.22 356.4
 BOS 20020204  1.58  0.82  0.08  0.14  0.17 402.0
 BOS 20020205  1.60  1.43  0.35  0.44  0.20 403.8
 BOS 20020206  1.71  1.36  0.20  0.43  0.23 387.6
